iso_code,continent,Country_Region,Lat,Long_,last_updated_date,Confirmed,new_cases,Deaths,new_deaths,new_tests,Tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,population,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty
HUN,Europe,Hungary,47.1625,19.5033,2021-09-17,817159,479,30123,5,15682,6302559,0.026,39,,5855039,5564586,9634162,43.4,18.577,11.976,26777.561,0.5
ISL,Europe,Iceland,64.9631,-19.0208,2021-09-17,11404,27,33,0,1762,615816,,,547788,281141,274175,343360,37.3,14.431,9.207,46482.958,0.2
IND,Asia,India,20.593684,78.96288,2021-09-17,33381728,0,444248,0,1430891,544444967,0.02,51.2,777387850,586105233,191282617,1393409033,28.2,5.989,3.414,6426.674,21.2
IDN,Asia,Indonesia,-0.7893,113.9213,2021-09-17,4185144,3835,140138,219,143135,23199268,0.037,27,121542203,77417488,44124715,276361788,29.3,5.319,3.053,11188.744,5.7
IRN,Asia,Iran,32.427908,53.688046,2021-09-17,5396013,17605,116436,364,115179,30672916,0.183,5.5,36753231,22943141,12549387,85028760,32.4,5.44,3.182,19082.62,0.2
IRQ,Asia,Iraq,33.223191,43.679291,2021-09-17,1970746,3559,21739,56,32036,14895398,0.127,7.9,6672182,4203578,2468604,41179351,20,3.186,1.957,15663.986,2.5
IRL,Europe,Ireland,53.1424,-7.6921,2021-09-17,372687,1386,5179,0,28135,7079448,0.052,19.1,7088705,3745660,3577773,4982904,38.7,13.928,8.678,67335.293,0.2
ISR,Asia,Israel,31.046051,34.851612,2021-09-17,1211443,3040,7494,29,54984,25581567,0.058,17.4,14652030,6059158,5572156,8789776,30.6,11.733,7.359,33132.32,0.5
ITA,Europe,Italy,41.8719,12.5674,2021-09-17,4627699,4544,130233,66,306267,88516407,0.017,60.5,82019420,44110138,39371032,60367471,47.9,23.021,16.24,35220.084,2
JAM,North America,Jamaica,18.1096,-77.2975,2021-09-17,78590,601,1772,4,1564,578267,0.333,3,702693,506797,216103,2973462,31.4,9.684,6.39,8193.571,
JPN,Asia,Japan,36.204824,138.252924,2021-09-17,1669982,6164,17120,69,107105,22590267,0.074,13.6,149882538,82677879,67204659,126050796,48.2,27.049,18.493,39002.223,
JOR,Asia,Jordan,31.24,36.51,2021-09-17,812253,790,10594,8,28071,9706117,0.031,32.4,6770298,3615365,3154933,10269022,23.2,3.81,2.361,8337.49,0.1
KAZ,Asia,Kazakhstan,48.0196,66.9237,2021-09-17,931458,3117,15031,0,,,,,13287776,7228047,6059729,18994958,30.6,6.991,4.625,24055.588,0.1
KEN,Africa,Kenya,-0.0236,37.9062,2021-09-17,245781,444,4965,4,,,,,3290450,2439528,850922,54985702,20,2.686,1.528,2993.028,36.8
KWT,Asia,Kuwait,29.31166,47.481766,2021-09-17,411081,63,2437,1,14694,4003280,0.004,260.3,,,,4328553,33.7,2.345,1.114,65530.537,
KGZ,Asia,Kyrgyzstan,41.20438,74.766098,2021-09-17,177567,83,2583,2,,,,,1321880,760466,557094,6628347,26.3,4.489,2.882,3393.474,1.4
LAO,Asia,Laos,19.85627,102.495496,2021-09-17,18347,288,16,0,3430,487290,0.052,19.4,4402770,2650948,1860415,7379358,24.4,4.029,2.322,6397.36,22.7
LVA,Europe,Latvia,56.8796,24.6032,2021-09-17,149614,533,2635,3,,,,,1580201,888910,802871,1866934,43.9,19.754,14.136,25063.846,0.7
LBN,Asia,Lebanon,33.8547,35.8623,2021-09-17,617036,857,8228,4,,,,,2704158,1499772,1204386,6769151,31.1,8.514,5.43,13367.565,
LSO,Africa,Lesotho,-29.609988,28.233608,2021-09-17,14395,0,403,0,,,,,,,,2159067,22.2,4.506,2.647,2851.153,59.6
LBR,Africa,Liberia,6.428055,-9.429499,2021-09-17,5904,177,283,38,,,,,,,,5180208,19.2,3.057,1.756,752.788,38.6
